FID,SR_01_1,SR_01_2,SR_01_3,SR_01_4,SR_01_5,SR_01_6,SR_01_7,SR_02_1,SR_02_2,SR_02_3,SR_02_4,SR_02_5,SR_02_6,SR_02_7,SR_03_1,SR_03_2,SR_03_3,SR_03_4,SR_03_5,SR_03_6,SR_03_7,SR_04_1,SR_04_2,SR_04_3,SR_04_4,SR_04_5,SR_04_6,SR_04_7,SR_05_1,SR_05_2,SR_05_3,SR_05_4,SR_05_5,SR_05_6,SR_05_7,SR_06_1,SR_06_2,SR_06_3,SR_06_4,SR_06_5,SR_06_6,SR_06_7,SR_07_1,SR_07_2,SR_07_3,SR_07_4,SR_07_5,SR_07_6,SR_07_7,SR_08_1,SR_08_2,SR_08_3,SR_08_4,SR_08_5,SR_08_6,SR_08_7,SR_09_1,SR_09_2,SR_09_3,SR_09_4,SR_09_5,SR_09_6,SR_09_7,SR_10_1,SR_10_2,SR_10_3,SR_10_4,SR_10_5,SR_10_6,SR_10_7,SR_11_1,SR_11_2,SR_11_3,SR_11_4,SR_11_5,SR_11_6,SR_11_7,SR_12_1,SR_12_2,SR_12_3,SR_12_4,SR_12_5,SR_12_6,SR_12_7,L
622,0.407533616,0.411620766,0.39086017,0.411491394,0.391065359,0.047995251,0.053925589,0.381114781,0.387780428,0.366283774,0.382953286,0.362706453,0.041542508,0.045478646,0.20195666,0.215889111,0.227870792,0.253047764,0.264806628,0.061743014,0.055386819,0.020177437,0.031860642,0.049271829,0.068559878,0.110076904,0.129659832,0.094542898,0.263514429,0.259366035,0.242223918,0.238994524,0.239591897,0.071421511,0.083313845,0.007955112,0.01177635,0.021533433,0.020785334,0.040663246,0.019156253,0.012959341,0.007786982,0.009377873,0.026751619,0.012835047,0.147968397,0.045977898,0.026080551,0.002676812,0.013054516,0.040633235,0.038154777,0.159616113,0.061064754,0.038384307,0.010289482,0.01572575,0.035125017,0.039264679,0.136324406,0.076400928,0.045203324,0.1257983,0.131424099,0.143271774,0.150300235,0.174795121,0.075167634,0.07513579,0.010756884,0.018147014,0.029738612,0.040591117,0.064604312,0.088273413,0.069555767,0.398742676,0.404916197,0.385949016,0.40055275,0.38218385,0.038046192,0.044379532,2
801,0.300406903,0.305610448,0.290071279,0.302108496,0.289668381,0.032867454,0.039302632,0.288683385,0.292331815,0.271796882,0.282552302,0.266470164,0.030100888,0.033514373,0.212909445,0.222403586,0.220865533,0.233770654,0.231732935,0.045722045,0.045268998,0.01470163,0.021075075,0.031261846,0.042627063,0.06816002,0.088302001,0.069911107,0.166256785,0.162462562,0.154799446,0.152569622,0.155666634,0.054938272,0.060127549,0.005153249,0.008664897,0.0161591,0.014786552,0.03059312,0.015539483,0.010234496,0.003379413,0.00629114,0.023053229,0.010475543,0.125903383,0.038539041,0.023029452,0.001938668,0.00969103,0.029644169,0.027398407,0.131475389,0.047150649,0.028844645,0.005412624,0.009387576,0.021187697,0.023958672,0.091952406,0.052409224,0.032124959,0.16142194,0.163171545,0.163253739,0.17015779,0.179469898,0.075436711,0.076450035,0.010707427,0.013980433,0.019526258,0.025205648,0.039258566,0.060862541,0.054642506,0.311257303,0.317213714,0.301067382,0.310200781,0.294454128,0.019838586,0.031770878,2
465,0.43994838,0.448146641,0.430921495,0.445245594,0.427262187,0.039576642,0.053366523,0.406889021,0.414740622,0.39630118,0.408032537,0.391386837,0.044456948,0.050435595,0.187626034,0.203981563,0.220328167,0.25125283,0.277800709,0.08702416,0.074606039,0.026667967,0.039062269,0.058286052,0.080439858,0.128412575,0.152418256,0.114262186,0.124312311,0.122643739,0.12841779,0.129879341,0.150349572,0.068845563,0.073337287,-1.94833E-05,0.006832522,0.025490016,0.024819845,0.057773694,0.028191948,0.017889218,0.032728881,0.024381299,0.052103579,0.046294786,0.207671881,0.074407466,0.053652532,0.027932316,0.03768564,0.064758651,0.060582567,0.180638805,0.063194424,0.047013987,0.005563803,0.012104884,0.033723559,0.035950121,0.152431995,0.077157535,0.044631969,0.018398831,0.032249629,0.053348396,0.066869259,0.103879675,0.091216587,0.068846382,0.018670477,0.023185946,0.032007411,0.041581411,0.062935121,0.094287567,0.083282672,0.436844051,0.442038804,0.417354941,0.429705828,0.411712319,0.060879476,0.080050349,3
326,0.771969259,0.769654572,0.747402489,0.793829381,0.78579253,0.106565408,0.121440627,0.818726063,0.81727308,0.771405399,0.807783306,0.776062071,0.099394791,0.10740874,0.516957104,0.545348525,0.554991901,0.598907053,0.625435412,0.140995428,0.135236457,0.049816873,0.069470204,0.10442958,0.1438898,0.233791873,0.322898746,0.24028416,0.148876458,0.147932306,0.182671666,0.195500001,0.291250825,0.137890205,0.135499999,0.037856665,0.047690209,0.078905009,0.087693542,0.285592705,0.263640851,0.183393538,0.019910624,0.013225834,0.067153335,0.05251646,0.475209802,0.196222305,0.112833135,0.016248541,0.039062083,0.107759364,0.092464797,0.419148713,0.19142355,0.115812294,0.029336249,0.038603749,0.072859585,0.083669372,0.288574159,0.237570822,0.136430427,0.019345833,0.047589373,0.097740211,0.117629588,0.17777437,0.161734998,0.125852078,0.038711462,0.056625411,0.091399163,0.130873129,0.22725375,0.299624592,0.21817188,0.864552498,0.855924428,0.800433934,0.838097394,0.81357199,0.126940623,0.139118537,3
393,0.726288021,0.586152732,0.518580616,0.523961484,0.532094598,0.074969754,0.099692255,0.764881492,0.767917454,0.721560776,0.742425025,0.737169743,0.095536999,0.102478005,0.440359145,0.465407103,0.480071425,0.617816985,0.644153774,0.121711493,0.112578735,0.034047,0.044777498,0.06384325,0.08478725,0.153193504,0.218302488,0.161121756,0.529410005,0.521885991,0.485885769,0.481122732,0.498648494,0.19482851,0.217961505,0.036241502,0.043839745,0.0669645,0.070789754,0.199068993,0.227776244,0.187334746,0.004876042,0.015635749,0.076930508,0.02630575,0.425669014,0.141943246,0.084435254,-0.00769675,0.008711111,0.111022249,0.073135503,0.473384291,0.160434246,0.121703245,0.0162545,0.02515625,0.075838752,0.057223998,0.359083235,0.187722504,0.094888002,0.012212001,0.034993611,0.077461243,0.092605501,0.144132257,0.128460005,0.100564003,0.032583997,0.044172503,0.065449253,0.089775749,0.16455099,0.235231489,0.178394511,0.925500751,0.939599991,0.877667248,0.907873273,0.891227424,0.095102504,0.123075508,2
803,0.528066456,0.537626922,0.512875199,0.534094214,0.513952732,0.060916916,0.07179033,0.488844842,0.497166038,0.463885635,0.48417303,0.460157394,0.058630422,0.062159199,0.325290889,0.341525942,0.343712866,0.370349765,0.37721777,0.090424053,0.08452224,0.025740473,0.039383098,0.060005523,0.083205976,0.13259314,0.160412133,0.121180646,0.275333464,0.270521075,0.255157918,0.253505141,0.26372242,0.086649165,0.096721932,0.008108103,0.012008883,0.022866799,0.021037536,0.045038711,0.022413971,0.015936904,0.006993078,0.011750699,0.038657568,0.020105572,0.212089002,0.063240767,0.038204871,0.004074375,0.015656365,0.048872944,0.04505853,0.224147812,0.07396809,0.044643681,0.008324321,0.015555919,0.040614445,0.04417263,0.183836952,0.086519927,0.04912997,0.285666078,0.288725495,0.288560033,0.301024377,0.318579972,0.136219159,0.136923358,0.018093903,0.025849802,0.036386911,0.046994161,0.068529256,0.108693197,0.092421457,0.560027301,0.571111202,0.542311311,0.561474741,0.536150753,0.0304875,0.055074733,2
154,0.500736535,0.512660086,0.494494796,0.522337735,0.515489876,0.064057283,0.073092215,0.405460775,0.415638119,0.402870238,0.430141598,0.435000896,0.070077039,0.069253616,0.031563893,0.050526273,0.109003462,0.167821065,0.227607653,0.130174384,0.10323301,0.031131141,0.04364128,0.063365072,0.085654214,0.132592008,0.169719353,0.129225597,0.295657963,0.29072684,0.277137101,0.274329334,0.288243175,0.097732201,0.106998533,0.025196642,0.029758105,0.041148212,0.046165396,0.099509902,0.130963981,0.110869355,0.015716603,0.013569643,0.043741066,0.039985746,0.211582601,0.076399289,0.05507775,0.009105999,0.017108107,0.065831825,0.04926778,0.251093805,0.092935041,0.072177246,0.010690393,0.014763929,0.033785678,0.027497608,0.172896788,0.107520647,0.056519538,0.305742651,0.307673097,0.303190202,0.309779227,0.325786144,0.113128677,0.121968351,0.023339998,0.040005784,0.066942036,0.101396009,0.169552401,0.189251423,0.131834939,0.601195633,0.619336486,0.598092794,0.62335813,0.600069642,0.060311005,0.071934067,3
957,0.493921727,0.501474559,0.477742463,0.498529404,0.476355463,0.052727539,0.062653027,0.441078961,0.440829366,0.415590495,0.435477704,0.418344706,0.053040512,0.055666864,0.187231034,0.200656071,0.215834752,0.247569218,0.279861927,0.103451923,0.089144036,0.024619734,0.037277192,0.056976657,0.079218335,0.129680365,0.160628766,0.120968148,0.300160468,0.294816822,0.275163382,0.271683514,0.272510588,0.098803416,0.111541204,0.005471643,0.010845483,0.022816801,0.021652959,0.040243473,0.015492265,0.010836761,0.006092538,0.009870957,0.033729803,0.017328102,0.219819114,0.063196845,0.033572257,0.000114869,0.009740807,0.037602909,0.032857887,0.185155541,0.059735544,0.035752319,0.00273515,0.0105299,0.035155356,0.037706193,0.172816351,0.078094177,0.043885123,0.049859289,0.059726503,0.076099582,0.08747796,0.117294006,0.07697551,0.064775661,0.020563379,0.025496777,0.034971267,0.044586588,0.068288781,0.105561592,0.093895413,0.496189296,0.500925958,0.468230784,0.489019811,0.458981276,0.049727872,0.057363246,3
602,0.301817834,0.304253787,0.295015156,0.316619933,0.329517841,0.043843441,0.04547232,0.275682926,0.279718488,0.270187438,0.290314347,0.29453513,0.046347462,0.043947853,0.131342262,0.141876817,0.15779607,0.185126632,0.214548782,0.075418569,0.065795042,0.017538948,0.027724665,0.043801989,0.061575472,0.101290964,0.114313677,0.083032131,0.165269807,0.162602961,0.156320587,0.157365918,0.169895262,0.065535724,0.071188755,0.004656007,0.009839916,0.022855677,0.022029663,0.039788228,0.014690865,0.010770227,0.008187034,0.011330807,0.035772365,0.015790144,0.180974752,0.056012075,0.035392225,-0.000198389,0.010300507,0.042832319,0.039219063,0.182336137,0.062096771,0.039312921,0.005742257,0.012078498,0.032380942,0.035183899,0.145762473,0.068586975,0.037422337,0.004215459,0.013450392,0.027455421,0.035786834,0.056692567,0.041188821,0.033085264,0.017197065,0.021893477,0.031383853,0.040979996,0.063656449,0.092608862,0.080945008,0.41829592,0.428695887,0.413829833,0.429610491,0.413896501,0.031965856,0.046973955,4
107,0.423019856,0.431901336,0.414301187,0.431765258,0.41606611,0.049201865,0.058314499,0.392749727,0.399940789,0.374267757,0.390182674,0.370509505,0.043208856,0.047453471,0.283397883,0.296674907,0.296399683,0.315803081,0.31709978,0.062620118,0.060759816,0.019175189,0.029696263,0.045608629,0.06373015,0.104150191,0.124523416,0.093487702,0.231846631,0.226931974,0.215689242,0.212701485,0.21743387,0.073704489,0.08123593,0.003969293,0.007858336,0.017946709,0.015135582,0.034141716,0.017028656,0.011368912,0.008147629,0.010699406,0.030808404,0.015532928,0.163310945,0.047508392,0.030090664,0.001293492,0.01129302,0.035514459,0.032922566,0.155931994,0.053451672,0.032721221,0.007265104,0.013502956,0.033078525,0.037570283,0.134967849,0.073486514,0.044103421,0.216778085,0.219065249,0.219971448,0.229212239,0.241311833,0.09841793,0.100788459,0.011080863,0.015707644,0.022795359,0.029684208,0.046537407,0.072706357,0.066117346,0.448371857,0.457860619,0.435701221,0.44830665,0.424056202,0.020353429,0.041598219,3
